StdLng@Record_ID,Underresourced,NumberofEntries,Priority1Sources,NotStandardNote,Count@ReleaseData,masterlanguagelist,glottolog@id,ISO639,StandardLanguageName,PnyStatsLanguages::Pny8inc,Count@Concepticon,Family,Langs_Subgroups::SubgroupName,EtymologyofName,StdHomophones,Homophoneinc,Latitude,Longitude,Ascii_Name,Subgroup_ID,NumberofVarieties,note about inclusion,DateModified,LastModifiedBy,AIATSIS_Code,INC@MCTowner,Sources::ChirilaRelease,RoundedLat,RoundedLong
583,,591,590,,,yes,djee1236,djj,Ndjebbana,17,78,Maningrida,Maningrida,,,,-12.160723,134.268677,Ndjebbana,19,3,,2021-01-28 17:18:08,bowern,N74,,,-12.16,134.27
584,,13,13,,,yes,nauo1235,nwo,Nauo,,10,Pama-Nyungan,Thura-Yura,,,,-33.79661077515979,135.8280140009325,Nauo,33,2,,2021-01-28 17:18:08,bowern,L2,,,-33.8,135.83
586,,1297,1096,,1,yes,naru1238,nnr,Narungga,y,745,Pama-Nyungan,Thura-Yura,,,,-31.34203119171096,133.7639064977904,Narungga,33,5,,2021-01-28 17:18:08,bowern,L1,Y,,-31.34,133.76
587,check,58,57,,0,yes,nari1241,rnr,Nari Nari,,28,Pama-Nyungan,Kulin,,,,-34.53088208998563,144.3450717587053,NariNari,16,2,with Wemba-wemba,2021-06-03 15:00:48,bowern,D9,,,-34.53,144.35
603,,4427,4267,,2,yes,muru1266,zmu,Muruwari,y,1796,Pama-Nyungan,Muruwaric,,,,-28.94787072444173,146.619390377284,Muruwari,48,2,,2021-01-28 17:18:08,bowern,D32,Y,Phase1,-28.95,146.62
608,ER,818,716,,0,yes,murr1258,mwf,Murrinh-patha,,56,Southern Daly,,good language,,,-14.64409150602408,129.7406449302609,Murrinhpatha,,2,,2021-01-28 17:18:08,bowern,N3,,,-14.64,129.74
622,,4485,1862,,,yes,mudb1240,mwd,Mudburra,y,1867,Pama-Nyungan,Ngumpin-Yapa,,,,-17.37280975346007,132.0454004894384,Mudburra,25,5,,2021-01-28 17:18:08,bowern,C25,Y,,-17.37,132.05
624,check,76,75,e,,yes,mpal1238,xpj,Mpalitjanh,x,67,Pama-Nyungan,Paman,,,,-12.16733588813939,142.4853283561639,Mpalitjanh,30,2,,2021-06-03 15:01:38,bowern,Y25,,,-12.17,142.49
625,,606,585,,1,yes,angu1242,awg,Mpakwithi,y,348,Pama-Nyungan,Paman,,,,-11.7407,142.0273,Mpakwithi,30,2,,2021-01-28 17:18:08,bowern,Y186*,,Phase1,-11.74,142.03
634,,985,972,,1,yes,mith1236,--,Mithaka,y,752,Pama-Nyungan,Karnic,unanalyzable,,,-25.1360672499538,139.5984469541717,Mithaka,14,1,,2021-06-03 15:06:10,bowern,L34,,Phase1,-25.14,139.6
635,,1635,1070,,2,yes,mirn1243,xrg,Mirniny,y,939,Pama-Nyungan,Mirniny,,,,-31.48156110315777,127.820004381876,Mirniny,23,11,,2021-01-28 17:18:08,bowern,A9,,,-31.48,127.82
636,,2504,2504,,0,yes,miri1266,mep,Miriwoong,,1005,Jarrakan,Miriwoongic,"-woong ""that kind of a one"" Language also called Miring - meaning not known Final -ng nominal",,,-16.01698314683208,128.7965195385167,Miriwoong,49,2,,2021-01-28 17:18:08,bowern,K29,,closed,-16.02,128.8
637,,218,1,,2,yes,mink1237,xxm,Minkin,O,191,Tangkic,,,,,-18.06057638023121,139.3944175867771,Minkin,,4,,2021-01-28 17:18:08,bowern,G26,,Phase1,-18.06,139.39
638,,1686,0,pny codingonly,2,yes,band1339,xjb,Minjungbal,y,693,Pama-Nyungan,Bandjalangic,0,,,-28.71099279326418,153.570179067174,Minjungbal,2,2,,2021-01-28 17:18:08,bowern,E18,,Phase 2,-28.71,153.57
657,check,67,67,,,yes,mbiy1238,--,Mbiywom,x,56,Pama-Nyungan,Paman,,,,-12.89620500513484,142.2710997208689,Mbiywom,30,1,,2021-06-03 15:06:10,bowern,Y41,,,-12.9,142.27
659,check,2,1,,,yes,mbar1254,mvl,Mbara,,2,Pama-Nyungan,Paman,,,,-17.27239986811713,143.7732550389188,Mbara,30,1,goes with Mijamba (G18) and Ynaga,2021-01-28 17:18:08,bowern,G21,,,-17.27,143.77
661,,838,537,e,2,yes,mbab1239,vmb,Mbabaram,y,564,Pama-Nyungan,Paman,,,,-17.21059784634545,144.6573104758481,Mbabaram,30,2,,2021-01-28 17:18:08,bowern,Y115,,Phase1,-17.21,144.66
662,,1044,465,,2,yes,mayk1239,mnt,Mayi-Yapi,y,809,Pama-Nyungan,Mayi,X language,,,-19.11953259794748,140.0751513651843,MayiYapi,22,4,,2021-01-28 17:18:08,bowern,G20,Y,,-19.12,140.08
664,,761,508,,1,yes,mayk1239,xyt,Mayi-Thakurti,y,510,Pama-Nyungan,Mayi,0,,,-20.00585156018133,140.6753482228318,MayiThakurti,22,2,,2021-01-28 17:18:08,bowern,G16,,,-20.01,140.68
665,,506,487,,0,yes,maya1280,xmy,Mayi-Kutuna,y,387,Pama-Nyungan,Mayi,this language,,,-18.64602942192227,139.6972618539237,MayiKutuna,22,2,,2021-01-28 17:18:08,bowern,G24,,,-18.65,139.7
666,,655,580,,0,yes,mayk1239,mnt,Mayi-Kulan,y,428,Pama-Nyungan,Mayi,this language,,,-19.08362819844932,142.041880858301,MayiKulan,22,2,,2021-01-28 17:18:08,bowern,G25,,,-19.08,142.04
