ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Speaker_Area,Feature_IDs,Glottolog_Languoid_Level,Family
adny1235,Adnyamathanha,,-30.1451,138.671,adny1235,,languages,141,language,Pama-Nyungan
aghu1256,Aghu Tharnggalu (Retired),,-15.0,144.0,aghu1256,,languages,395,language,Bookkeeping
alaw1244,Alawa,,-15.5458,134.282,alaw1244,,languages,354,language,Mangarrayi-Maran
alng1239,Alngith,,-12.5324,141.938,alng1239,,languages,78,language,Pama-Nyungan
alya1239,Alyawarr,,-21.0427,136.835,alya1239,,languages,273,language,Pama-Nyungan
amar1271,Amurdak,,-11.9876,132.878,amar1271,,languages,333,language,Iwaidjan Proper
amii1238,Ami,,-13.5573,130.04,amii1238,,languages,477,language,Western Daly
ande1247,Andegerebinha,,-22.51278,137.3515,ande1247,,languages,275 276,language,Pama-Nyungan
angg1238,Angkamuthi,,-11.443,142.242,angg1238,,languages,93,language,Pama-Nyungan
angu1242,Anguthimri,,-12.395,141.755,angu1242,,languages,72 91,language,Pama-Nyungan
anin1240,Anindilyakwa,,-13.99904,136.6415,anin1240,,languages,247,language,Gunwinyguan
anma1239,Anmatyerre,,-22.2853,133.286,anma1239,,languages,274,language,Pama-Nyungan
anta1253,Antakarinya,,-27.1152,134.838,anta1253,,languages,233,language,Pama-Nyungan
arab1267,Arabana,,-28.705,135.449,arab1267,,languages,410,language,Pama-Nyungan
areb1238,Areba,,-16.63548,142.63107,areb1238,,languages,452,language,Pama-Nyungan
arit1239,Arritinngithigh,,-12.96,141.95,arit1239,,languages,73,language,Pama-Nyungan
atam1239,Atampaya,,-11.0018,142.273,atam1239,,languages,92,language,Pama-Nyungan
athi1234,Athima,,-17.2,142.4,athi1234,,languages,471,language,Pama-Nyungan
awab1243,Awabakal,,-33.12847,151.43555,awab1243,,languages,393,language,Pama-Nyungan
ayab1239,Yintyinka-Ayabadhu,,-14.6652,142.893,ayab1239,,languages,23 464,language,Pama-Nyungan
badi1246,Badimaya,,-29.0647,117.246,badi1246,,languages,385,language,Pama-Nyungan
badj1244,Badjirri,,-28.79,145.47,badj1244,,languages,33,language,Pama-Nyungan
bang1339,Banggarla,,-33.3036,136.079,bang1339,,languages,139,language,Pama-Nyungan
bard1255,Bardi,,-16.6274,122.906,bard1255,,languages,180,language,Nyulnyulan
barr1247,Barrow Point,,-14.1219,144.531,barr1247,,languages,58,language,Pama-Nyungan
barr1252,Barranbinya,,-30.1,145.93,barr1252,,languages,448,language,Pama-Nyungan
baya1257,Bayali,,-24.9793,151.699,baya1257,,languages,127,language,Pama-Nyungan
bayu1240,Bayungu,,-23.3809,114.108,bayu1240,,languages,290,language,Pama-Nyungan
bidy1243,Bidyara,,-25.192664,147.273359,bidy1243,,languages,34 37 355 359 498,language,Pama-Nyungan
biga1237,Bigambal,,-28.266,149.515,biga1237,,languages,286,language,Pama-Nyungan
biri1256,Biri,,-20.1494,146.67,biri1256,,languages,231 248,language,Pama-Nyungan
bula1255,Bularnu,,-21.02656922,138.1566659,bula1255,,languages,107,language,Pama-Nyungan
buna1275,Bunaba,,-17.8297,125.631,buna1275,,languages,256,language,Bunaban
bung1264,Bunganditj,,-36.5,140.5,bung1264,,languages,390,language,Pama-Nyungan
bura1267,Burarra,,-12.3061,134.365,bura1267,,languages,382,language,Maningrida
burd1238,Burduna,,-22.9646,114.658,burd1238,,languages,287,language,Pama-Nyungan
cola1237,Colac,,-38.471266,143.422444,cola1237,,languages,389,language,Pama-Nyungan
cond1242,Condamine-Upper Clarence Bandjalang,,-28.289642,152.151281,cond1242,,languages,507,language,Pama-Nyungan
dago1245,Dagoman,,-15.764,132.379,dago1245,,languages,106,language,Yangmanic
darl1243,Paakantyi,,-32.7021,142.695,darl1243,,languages,51 52 53 54 79 500 501,language,Pama-Nyungan
dayi1244,Dayi,,-13.1806,136.22,dayi1244,,languages,261,language,Pama-Nyungan
dhal1245,Dhalandji,,-22.196,114.937,dhal1245,,languages,289,language,Pama-Nyungan
dhan1270,Dhangu,,-11.9493,135.752,dhan1270,,languages,424 425,language,Pama-Nyungan
dhar1247,Dhargari,,-24.0601,114.847,dhar1247,,languages,352,language,Pama-Nyungan
dhar1248,Dharumbal,,-23.307,150.593,dhar1248,,languages,241 270 493,language,Pama-Nyungan
dhud1236,Dhudhuroa,,-36.95881441,147.0450379,dhud1236,,languages,343,language,Pama-Nyungan
dhur1239,Dhurga,,-35.412,150.134,dhur1239,,languages,173 504,language,Pama-Nyungan
dhuw1249,Dhuwal,,-12.7825,136.008,dhuw1249,,languages,258 259,language,Pama-Nyungan
dier1241,Dieri,,-28.1667,138.0,dier1241,,languages,401 409,language,Pama-Nyungan
djam1255,Jaminjung-Ngaliwurru,,-15.0558,130.06,djam1255,,languages,202 204,language,Mirndi
djan1238,Djangun,,-16.91051,144.93245,djan1238,,languages,454,language,Pama-Nyungan
djau1244,Jawoyn,,-14.1361,133.002,djau1244,,languages,331,language,Gunwinyguan
djaw1238,Djawi,,-16.4163,123.186,djaw1238,,languages,179,language,Nyulnyulan
djee1236,Djeebbana,,-12.0133,134.097,djee1236,,languages,377,language,Maningrida
djin1251,Jingulu,,-17.165,133.659,djin1251,,languages,337,language,Mirndi
djin1252,Djinba,,-12.93,134.967,djin1252,,languages,421,language,Pama-Nyungan
djin1253,Djinang,,-12.462,134.82,djin1253,,languages,428,language,Pama-Nyungan
dyaa1242,Dyaabugay,,-16.596,145.388,dyaa1242,,languages,166,language,Pama-Nyungan
