Name,Glottocode,Glottolog_Name,layer,family,dialect,description,glottolog_comment
Karlaaku,kala1379,Kalarko-Mirniny,NatjuCluster,,,
Ngajumaya,ngad1258,Ngadjunmaya,NatjuCluster,,,"Better name for the language would be Marlpamaya (human language) rather than 'Ngajumaya"" (I language) (Doug Marmion, pc)"
Ngarinyin,ngar1284,Ngarinyin,Ngarinyinic,NonPNy,,
Worla,wurl1240,Wurla,Ngarinyinic,NonPNy,,
Yapurarra,jabu1247,Jaburarra,Ngayarta,,,
Andajin,anda1282,Andadjin,Ngarinyinic,NonPNy,,
Ngarlawangga,yinh1234,Yinhawangka,Ngayarta,,,name changed from Ngalawangka per Doug Marmion,Per Wikipedia Ngalawongga is an alternative name which in turn is an ElCat for the Glottolog language Yinhawangka.
Ngarluma,ngar1287,Ngarluma,Ngayarta,,,
Martuthunira,mart1255,Martuthunira,Ngayarta,,,
Nhuwala,nhuw1239,Nhuwala,Ngayarta,,,
Palyku,nija1241,Nyiyaparli-Palyku,Ngayarta,,,
Panyjima,pany1241,Panytyima,Ngayarta,,,
Kurrama,kurr1243,Kurrama,Ngayarta,,,
Nyamal,nyam1271,Nyamal,Ngayarta,,,
Kariyarra,kari1304,Kariyarra,Ngayarta,,,
Jurruru,tjur1240,Tjurruru,Ngayarta,,,
Wanamara,wunu1234,Wunumara,Mayi,,,
Mangala,mang1383,Mangala,Marrngu,,,
Mayi-Kulan,mayi1236,Mayi-Kulan,Mayi,,,
Ngawun,ngaw1240,Ngawun,Mayi,,,
Mayi-Yapi,mayi1235,Mayi-Yapi,Mayi,,,
Mayi-Kutuna,maya1280,Mayaguduna,Mayi,,,
Ayapathu,ayab1239,Yintyinka-Ayabadhu,Middle,,,
Mayi-Thakurti,mayi1234,Mayi-Thakurti,Mayi,,,
Kuuku Yani,nort2759,Umpilaic,Middle,,,
Kuuku-Ya'u,kuuk1238,Kuuku-Ya'u,Middle,,,
Kugu Nganhcara,wikn1246,Wikngenchera,Middle,,,
Kaanju,kanj1260,Kanju,Middle,,,
Wik Mungkan,wikm1247,Wik-Mungkan,Middle,,,
Badjiri,badj1244,Badjirri,South Maric,,,
Wadjabangayi,bidy1243,Bidyara,South Maric,,,
Gungabula,gung1248,Gungabula,South Maric,,,
Gunggari,kung1258,Kunggari,South Maric,,,,The location of the Glottolog language is a bit of an outlier of the Southern Maric group this language belongs to.
Bidjara,bidy1243,Bidyara,South Maric,,,
Yirandhali,yira1239,Yirandhali,South Maric,,,
Guwamu,guwa1243,Guwamu,South Maric,,,
Gunya,guny1241,Gunya,South Maric,,,
Muruwari,muru1266,Muruwari,SouthEastern,,,
Margany,marg1253,Margany,South Maric,,,
Ritharrngu,rita1239,Ritharrngu,Southern,,,
Nganyaywana,ngan1296,Nganyaywana,Anaiwan,,,
Goreng,gore1235,Goreng,Southern (#2),,y,
Minang,nyun1247,Nyunga,Southern (#2),,y,
Nyunga,nyun1247,Nyunga,Southern (#2),,y,
Wudjari,nyun1247,Nyunga,Southern (#2),,,
Parrintyi,darl1243,Paakantyi,Paakantyi,,y,
Kurnu,darl1243,Paakantyi,Paakantyi,,,
Pantyikali,darl1243,Paakantyi,Paakantyi,,,
Southern Paakantyi,darl1243,Paakantyi,Paakantyi,,y,
Flinders Island,flin1247,Flinders Island,Paman,,,
Guugu-Yimidhirr,gugu1255,Guugu Yimidhirr,Paman,,,
Mbabaram,mbab1239,Mbabaram,Paman,,,,Glottolog location seems to be off: https://github.com/glottolog/glottolog/issues/1142
Barrow Point,barr1247,Barrow Point,Paman,,,
Kuku Thaypan,thay1248,Thaypan,Rarmul Paman,,,
Ngalakgan,ngal1293,Ngalakgan,Rembarrnga-Ngalakgan,NonPNy,,
Rembarrnga,remb1249,Rembarrnga,Rembarrnga-Ngalakgan,NonPNy,,
Mbeiwum,mbiy1238,Mbiywom,Northern (#5),,,
Yatay,guda1244,Gudang,Northern (#5),,,
Umpila,umpi1239,Umpila,Northern (#5),,,
Yinwum,yinw1236,Yinwum,Northern (#5),,,
Yadhaykenu,yadh1237,Yadhaykenu,Northern (#5),,,
Linngithigh,leni1238,Linngithigh,Northern (#5),,,
Luthigh,luth1234,Luthigh,Northern (#5),,,
Anguthimri,angu1242,Anguthimri,Northern (#5),,,
Aritinngithigh,arit1239,Arritinngithigh,Northern (#5),,,
Muthanthi,,,Northern (#5),,,
Uradhi,urad1239,Uradhi,Northern (#5),,,
Yupngayth,,,Northern (#5),,,
Ndra'ngith,ndra1239,Ndra'ngith,Northern (#5),,,
Alngith,alng1239,Alngith,Northern (#5),,,
Paaruntyi,darl1243,Paakantyi,Paakantyi,,,
Malak Malak,mull1237,Mullukmulluk,Northern Daly,,,
Kukatja,kuka1246,Kukatja,Northern (#2),,y,
Yulparija,yulp1238,Yulparitja,Northern (#2),,,,Based on location the dialect Yulparitja of Martu Wangka seems a better match than the language with the exact same name.
Nyaki Nyaki,nyun1247,Nyunga,Northern (#3),,y,
Nganakarti,nhan1238,Nhanda,Northern (#3),,y,
Balardung,nyun1247,Nyunga,Northern (#3),,y,
Wajuk,waju1234,Wajuk,Northern (#3),,,
Kukatj,guga1239,Gugadj,Northern (#4),,,
Amangu,nhan1238,Nhanda,Northern (#3),,y,
Wuthathi,wuth1237,Wuthathi,Northern (#5),,,
Mpalityan,mpal1237,Mpalityanh-Luthigh,Northern (#5),,,Changed from Mpalitjanh
Mpakwithi,angu1242,Anguthimri,Northern (#5),,,
Atampaya,atam1239,Atampaya,Northern (#5),,,
Angkamuthi,angg1238,Angkamuthi,Northern (#5),,,
Awngthim,awng1245,Awngtim,Northern (#5),,,
Gudang,guda1244,Gudang,Northern (#5),,,
Luthigh,luth1234,Luthigh,Northern (#5),,,
Duungidjawu,duun1241,Duungidjawu,Waka-Kabi,,,
WakaWaka,waka1274,Wakawaka,Waka-Kabi,,,
Guweng,gure1255,Gureng Gureng,Waka-Kabi,,,
Batyala,baty1234,Butchulla,Waka-Kabi,,,
GoorengGooreng,gure1255,Gureng Gureng,Waka-Kabi,,,
Gubbi Gubbi,duun1241,Duungidjawu,Waka-Kabi,,,
